artifact_id,model,method,checkov_rule_id,violation_class,v1_syntax_valid,v2_target_resolved,v3_new_issues_count,v4_lines_changed,v4_diff_ratio,overall_verified_fix,num_attempts,input_tokens,output_tokens,latency_seconds,error
BM-0045,claude-sonnet-4.6,verify_loop,CKV_AWS_214,missing_encryption,True,True,0,13,0.5417,True,2,1658,868,9.48,
BM-0048,claude-sonnet-4.6,verify_loop,CKV_AWS_159,missing_encryption,True,True,0,5,0.1667,True,1,476,392,4.21,
BM-0058,claude-sonnet-4.6,verify_loop,CKV_AWS_210,over_permissive_access,True,True,0,2,0.0109,True,1,1515,1644,12.26,
BM-0138,claude-sonnet-4.6,verify_loop,CKV_AWS_314,over_permissive_access,True,True,0,15,0.25,True,2,2132,1461,14.16,
BM-0139,claude-sonnet-4.6,verify_loop,CKV_AWS_316,over_permissive_access,True,True,0,2,0.0333,True,1,706,583,4.93,
BM-0140,claude-sonnet-4.6,verify_loop,CKV_AWS_147,over_permissive_access,True,True,0,2,0.0333,True,1,704,598,5.39,
BM-0276,claude-sonnet-4.6,verify_loop,CKV_AWS_163,over_permissive_access,True,False,0,4,0.0159,False,2,7053,5506,40.43,
BM-0277,claude-sonnet-4.6,verify_loop,CKV_AWS_136,over_permissive_access,True,True,0,20,0.0797,True,2,7149,5730,47.230000000000004,
BM-0278,claude-sonnet-4.6,verify_loop,CKV_AWS_51,over_permissive_access,True,True,0,15,0.0598,True,2,7046,5453,40.650000000000006,
BM-0279,claude-sonnet-4.6,verify_loop,CKV_AWS_32,over_permissive_access,True,False,0,3,0.012,False,2,7057,5561,46.53,
BM-0442,claude-sonnet-4.6,verify_loop,CKV_AWS_137,network_hardening,True,True,0,10,0.3571,True,1,460,406,5.03,
BM-0443,claude-sonnet-4.6,verify_loop,CKV_AWS_317,network_hardening,True,True,2,22,0.7857,False,3,2527,1759,22.19,
BM-0444,claude-sonnet-4.6,verify_loop,CKV_AWS_228,network_hardening,True,True,0,8,0.2857,True,2,1424,968,11.82,
BM-0445,claude-sonnet-4.6,verify_loop,CKV_AWS_5,network_hardening,True,True,0,8,0.2857,True,2,1405,788,9.7,
BM-0446,claude-sonnet-4.6,verify_loop,CKV_AWS_247,network_hardening,True,True,1,20,0.7143,False,3,2493,1795,22.2,
BM-0447,claude-sonnet-4.6,verify_loop,CKV_AWS_248,network_hardening,True,True,0,11,0.3929,True,1,461,402,4.51,
BM-0448,claude-sonnet-4.6,verify_loop,CKV_AWS_84,network_hardening,True,True,0,11,0.3929,True,2,1434,1232,15.64,
BM-0449,claude-sonnet-4.6,verify_loop,CKV_AWS_318,network_hardening,True,False,0,11,0.3929,False,3,2434,1988,30.020000000000003,
BM-0049,claude-sonnet-4.6,verify_loop,CKV_AWS_79,public_exposure,True,True,0,14,0.25,True,2,2616,1646,15.760000000000002,
BM-0050,claude-sonnet-4.6,verify_loop,CKV_AWS_389,public_exposure,True,True,0,4,0.0714,True,1,867,751,6.79,
BM-0051,claude-sonnet-4.6,verify_loop,CKV_AWS_8,public_exposure,True,True,0,22,0.3929,True,2,2619,1690,15.079999999999998,
BM-0052,claude-sonnet-4.6,verify_loop,CKV_AWS_315,public_exposure,True,True,1,47,0.8393,False,3,4334,2474,22.84,
BM-0262,claude-sonnet-4.6,verify_loop,CKV_AWS_126,public_exposure,True,True,0,7,0.056,True,2,3284,2479,20.28,
BM-0263,claude-sonnet-4.6,verify_loop,CKV_AWS_135,public_exposure,True,True,0,7,0.056,True,2,3285,2508,20.68,
BM-0002,claude-sonnet-4.6,verify_loop,CKV_AWS_233,weak_observability,True,True,0,21,0.4773,True,2,1685,913,11.7,
BM-0003,claude-sonnet-4.6,verify_loop,CKV_AWS_234,weak_observability,True,True,0,2,0.0455,True,1,562,431,4.46,
BM-0039,claude-sonnet-4.6,verify_loop,CKV_AWS_194,weak_observability,True,True,0,2,0.0606,True,1,538,402,5.15,
BM-0040,claude-sonnet-4.6,verify_loop,CKV2_AWS_33,weak_observability,True,True,2,56,1.697,False,3,3428,4165,49.68,
BM-0042,claude-sonnet-4.6,verify_loop,CKV_AWS_193,weak_observability,True,True,0,5,0.2778,True,1,404,329,4.51,
BM-0075,claude-sonnet-4.6,verify_loop,CKV_AWS_338,weak_observability,True,True,0,6,1.2,True,2,964,400,6.640000000000001,
BM-0056,claude-sonnet-4.6,verify_loop,CKV_AWS_153,insecure_defaults,True,True,0,8,0.1379,True,1,804,730,6.47,
BM-0080,claude-sonnet-4.6,verify_loop,CKV_AWS_34,insecure_defaults,True,False,0,4,0.0198,False,3,8922,6819,62.07000000000001,
BM-0081,claude-sonnet-4.6,verify_loop,CKV_AWS_174,insecure_defaults,True,False,0,6,0.0297,False,3,9024,6989,77.51,
BM-0082,claude-sonnet-4.6,verify_loop,CKV_AWS_68,insecure_defaults,True,False,0,4,0.0198,False,3,8981,6581,57.67,
BM-0083,claude-sonnet-4.6,verify_loop,CKV_AWS_310,insecure_defaults,True,False,0,23,0.1139,False,3,9154,6818,58.43,
BM-0004,claude-sonnet-4.6,verify_loop,CKV_AWS_150,other,True,False,0,2,0.0161,False,3,6404,4620,43.480000000000004,
BM-0005,claude-sonnet-4.6,verify_loop,CKV_AWS_91,other,True,False,0,12,0.0968,False,3,6485,4906,50.03,
BM-0006,claude-sonnet-4.6,verify_loop,CKV_AWS_127,other,True,False,0,3,0.0242,False,3,6429,4926,49.06,
BM-0007,claude-sonnet-4.6,verify_loop,CKV_AWS_376,other,True,False,0,13,0.1048,False,3,6453,4422,39.22,
BM-0008,claude-sonnet-4.6,verify_loop,CKV_AWS_328,other,True,False,0,4,0.0323,False,3,6411,4599,49.95,
BM-0015,llama4-maverick,plain,CKV_AWS_235,missing_encryption,True,True,0,8,0.2162,True,1,342,245,1.15,
BM-0016,llama4-maverick,plain,CKV_AWS_236,missing_encryption,True,False,0,8,0.2162,False,1,342,245,0.78,
BM-0019,llama4-maverick,plain,CKV_AWS_204,missing_encryption,True,True,0,14,0.1867,True,1,544,465,1.43,
BM-0029,llama4-maverick,plain,CKV_AWS_206,missing_encryption,True,True,0,4,0.1739,True,1,280,182,0.68,
BM-0031,llama4-maverick,plain,CKV_AWS_308,missing_encryption,True,True,0,5,0.1282,True,1,361,270,0.99,
BM-0032,llama4-maverick,plain,CKV_AWS_225,missing_encryption,True,False,0,5,0.1282,False,1,361,270,0.94,
BM-0036,llama4-maverick,plain,CKV_AWS_381,missing_encryption,True,True,0,11,0.25,True,1,353,300,1.03,
BM-0037,llama4-maverick,plain,CKV_AWS_264,missing_encryption,True,True,0,6,0.1224,True,1,389,303,0.98,
BM-0038,llama4-maverick,plain,CKV_AWS_263,missing_encryption,True,True,0,4,0.046,True,1,491,405,1.21,
BM-0044,llama4-maverick,plain,CKV_AWS_215,missing_encryption,True,True,0,16,0.6667,True,1,307,227,0.76,
BM-0045,llama4-maverick,plain,CKV_AWS_214,missing_encryption,True,True,0,16,0.6667,True,1,307,227,0.76,
BM-0048,llama4-maverick,plain,CKV_AWS_159,missing_encryption,True,True,0,7,0.2333,True,1,252,192,1.05,
BM-0058,llama4-maverick,plain,CKV_AWS_210,over_permissive_access,True,True,0,16,0.087,True,1,1096,1002,2.74,
BM-0138,llama4-maverick,plain,CKV_AWS_314,over_permissive_access,True,False,0,6,0.1,False,1,413,329,1.04,
BM-0139,llama4-maverick,plain,CKV_AWS_316,over_permissive_access,True,True,0,6,0.1,True,1,413,329,1.11,
BM-0140,llama4-maverick,plain,CKV_AWS_147,over_permissive_access,True,True,0,10,0.1667,True,1,413,326,1.04,
BM-0276,llama4-maverick,plain,CKV_AWS_163,over_permissive_access,True,False,0,120,0.4781,False,1,1693,1360,4.19,
BM-0277,llama4-maverick,plain,CKV_AWS_136,over_permissive_access,True,False,0,121,0.4821,False,1,1693,1497,4.24,
BM-0278,llama4-maverick,plain,CKV_AWS_51,over_permissive_access,True,False,0,122,0.4861,False,1,1693,1497,4.35,
BM-0279,llama4-maverick,plain,CKV_AWS_32,over_permissive_access,True,True,0,121,0.4821,True,1,1693,1310,3.97,
BM-0442,llama4-maverick,plain,CKV_AWS_137,network_hardening,True,True,0,37,1.3214,True,1,239,307,1.29,
BM-0443,llama4-maverick,plain,CKV_AWS_317,network_hardening,True,False,0,37,1.3214,False,1,239,307,1.76,
BM-0444,llama4-maverick,plain,CKV_AWS_228,network_hardening,True,True,0,37,1.3214,True,1,239,307,1.39,
BM-0445,llama4-maverick,plain,CKV_AWS_5,network_hardening,True,True,0,37,1.3214,True,1,239,307,1.55,
BM-0446,llama4-maverick,plain,CKV_AWS_247,network_hardening,True,False,0,37,1.3214,False,1,239,307,1.36,
BM-0447,llama4-maverick,plain,CKV_AWS_248,network_hardening,True,True,0,37,1.3214,True,1,239,307,1.33,
BM-0448,llama4-maverick,plain,CKV_AWS_84,network_hardening,True,False,0,37,1.3214,False,1,239,307,1.34,
BM-0449,llama4-maverick,plain,CKV_AWS_318,network_hardening,True,False,0,37,1.3214,False,1,239,307,2.19,
BM-0049,llama4-maverick,plain,CKV_AWS_79,public_exposure,True,False,0,40,0.7143,False,1,569,212,0.96,
BM-0050,llama4-maverick,plain,CKV_AWS_389,public_exposure,True,True,0,40,0.7143,True,1,569,212,0.96,
BM-0051,llama4-maverick,plain,CKV_AWS_8,public_exposure,True,False,0,40,0.7143,False,1,569,212,1.03,
BM-0052,llama4-maverick,plain,CKV_AWS_315,public_exposure,True,False,0,40,0.7143,False,1,569,212,0.99,
BM-0262,llama4-maverick,plain,CKV_AWS_126,public_exposure,True,False,1,120,0.96,False,1,732,1336,4.11,
BM-0263,llama4-maverick,plain,CKV_AWS_135,public_exposure,True,False,2,169,1.352,False,1,732,1637,4.7,
BM-0002,llama4-maverick,plain,CKV_AWS_233,weak_observability,True,True,0,29,0.6591,True,1,333,192,0.86,
BM-0003,llama4-maverick,plain,CKV_AWS_234,weak_observability,True,True,0,28,0.6364,True,1,333,209,0.78,
BM-0039,llama4-maverick,plain,CKV_AWS_194,weak_observability,True,True,0,16,0.4848,True,1,285,187,0.71,
BM-0040,llama4-maverick,plain,CKV2_AWS_33,weak_observability,True,False,0,16,0.4848,False,1,285,187,1.8,
BM-0042,llama4-maverick,plain,CKV_AWS_193,weak_observability,True,True,0,7,0.3889,True,1,195,126,0.59,
BM-0075,llama4-maverick,plain,CKV_AWS_338,weak_observability,True,False,0,4,0.8,False,1,132,43,0.36,
BM-0056,llama4-maverick,plain,CKV_AWS_153,insecure_defaults,True,True,0,16,0.2759,True,1,499,459,1.65,
BM-0080,llama4-maverick,plain,CKV_AWS_34,insecure_defaults,True,True,1,70,0.3465,False,1,1292,1248,3.19,
BM-0081,llama4-maverick,plain,CKV_AWS_174,insecure_defaults,True,False,1,70,0.3465,False,1,1292,1248,3.36,
BM-0082,llama4-maverick,plain,CKV_AWS_68,insecure_defaults,True,False,1,70,0.3465,False,1,1292,1248,3.24,
BM-0083,llama4-maverick,plain,CKV_AWS_310,insecure_defaults,True,False,1,70,0.3465,False,1,1292,1248,3.54,
BM-0004,llama4-maverick,plain,CKV_AWS_150,other,True,False,0,11,0.0887,False,1,907,824,2.63,
BM-0005,llama4-maverick,plain,CKV_AWS_91,other,True,False,0,11,0.0887,False,1,907,824,2.05,
BM-0006,llama4-maverick,plain,CKV_AWS_127,other,True,False,0,11,0.0887,False,1,907,824,2.44,
BM-0007,llama4-maverick,plain,CKV_AWS_376,other,True,False,0,11,0.0887,False,1,907,824,2.39,
BM-0008,llama4-maverick,plain,CKV_AWS_328,other,True,True,0,11,0.0887,True,1,907,824,2.2,
BM-0015,llama4-maverick,structured,CKV_AWS_235,missing_encryption,True,True,0,6,0.1622,True,1,502,333,1.19,
BM-0016,llama4-maverick,structured,CKV_AWS_236,missing_encryption,True,False,0,6,0.1622,False,1,502,367,1.4,
BM-0019,llama4-maverick,structured,CKV_AWS_204,missing_encryption,True,True,0,8,0.1067,True,1,706,605,2.16,
BM-0029,llama4-maverick,structured,CKV_AWS_206,missing_encryption,True,True,0,2,0.087,True,1,443,257,1.18,
BM-0031,llama4-maverick,structured,CKV_AWS_308,missing_encryption,True,True,0,2,0.0513,True,1,525,337,1.12,
BM-0032,llama4-maverick,structured,CKV_AWS_225,missing_encryption,True,True,0,2,0.0513,True,1,524,358,1.25,
BM-0036,llama4-maverick,structured,CKV_AWS_381,missing_encryption,True,False,0,2,0.0455,False,1,533,388,1.56,
BM-0037,llama4-maverick,structured,CKV_AWS_264,missing_encryption,True,True,0,1,0.0204,True,1,552,390,1.53,
BM-0038,llama4-maverick,structured,CKV_AWS_263,missing_encryption,True,True,0,2,0.023,True,1,651,535,2.16,
BM-0044,llama4-maverick,structured,CKV_AWS_215,missing_encryption,True,False,0,6,0.25,False,1,471,279,1.2,
BM-0045,llama4-maverick,structured,CKV_AWS_214,missing_encryption,True,False,0,4,0.1667,False,1,471,273,1.34,
BM-0048,llama4-maverick,structured,CKV_AWS_159,missing_encryption,True,True,0,5,0.1667,True,1,414,268,1.65,
BM-0058,llama4-maverick,structured,CKV_AWS_210,over_permissive_access,True,True,0,4,0.0217,True,1,1259,1269,5.43,
